,Position,Company,State
80,Admin Assistant,Uno Nutrition Malaysia Sdn Bhd,Kuala Lumpur
81,Personal Assistant,Roboto Coding Academy,Johor Bahru
82,Secretary to COO & CMO,DM DASHER SDN. BHD.,Selangor
83,HR cum ADMIN ASSISTANT,CLEAR EDGE CAPITAL,Kuala Lumpur
84,Business Development Executive (Remote / Work-From-Home),Agile Matrix Solutions Sdn Bhd,Penang
85,Live Chat Agent - Online Store Customer Service,ExxonMobil Malaysia,Selangor
86,Assortment Executive,Wah Lee Chain-Store Sdn Bhd,Kuala Lumpur
87,Office Administrator,AIR-MARINE Cargo Agency Sdn Bhd,Johor
88,Petroleum Measurement Engineer,MOL ACCESSPORTAL SDN. BHD.,Perai
89,Purchaser,Perunding AC & Rakan Sdn Bhd,Kuala Lumpur
90,Warehouse Planner cum Logistics Executive,GPGC Resources  Sdn Bhd,"Melaka, Johor"
91,Web Application Support Manager,Rise Facilities Service,Kuala Lumpur
92,Account Credit Control Executive,EXCEL FIRE ENGINEERING SDN. BHD.,Bukit Mertajam
93,Secretary,SERBA DINAMIK SDN BHD,Bintulu
94,Business development executive,Agilent Technologies LDA Malaysia Sdn. Bhd.,Kuala Lumpur
95,Internship for Electrical/Electronic Engineering Students,Ngee Cycle Trading Sdn Bhd,Kuala Lumpur
96,Account Assistant,Kossan Latex Industries (M) Sdn Bhd,Ipoh
97,Automation Manufacturing Engineer,Federal Express Services (M) Sdn Bhd,Selangor
98,ADMIN ASSISTANT,Search Personnel Pte Ltd,Selangor
99,Material Control Engineer,Tentacle Tech,Shah Alam/Subang
100,Organization & Employee Experience Designer,Jora Jobs,Penang
101,Accounts Executive (Credit Control/ Accounts Receivable/ FULLSET Accounts),R&F Development Sdn Bhd,Selangor
102,Application Support,China Communications Construction (ECRL) Sdn. Bhd.,Klang/Port Klang
103,FORWARDING EXECUTIVE,Paramount Property Development Sdn Bhd,Kuala Lumpur
104,Customer Service Assistant 客服助理,Roboto Coding Academy,Singapore
105,Administrative Executive,Daikin Malaysia Sdn Bhd,Kuala Lumpur
106,Accountant,Panasonic Industrial Devices Malaysia Sdn Bhd,Selangor
107,"Technology Educator (STEM, Robotics & Coding) (Remote / Work-From-Home)",Tungsten Network,Johor
108,IT Executive (Infrastructure),Family Confectionery Sdn Bhd,Kuantan
109,MACHINE OPERATOR,GFG HOME REALTY SDN BHD,Selangor
110,"Senior Manager, R2R Report & Treasury",Dream Products Sdn Bhd,Johor
111,Purchasing Executive,Tata Consultancy Services,Selangor
