,Position,Company,State
342,Sales Admin Assistant - Fresh Graduate / Junior,Delfi Marketing Sdn Bhd,Kuala Lumpur
343,"Corporate Sales Executive (Salary Up to RM6,000 + Performance Bonus)",Kotak Malaysia (KOM) Sdn. Bhd.,Kuala Lumpur
344,SEO Specialist,SOON HOE CHAN SDN. BHD.,Company Confidential
345,Store cum driver,LYL Land Sdn Bhd,Petaling Jaya
346,Recruitment Consultant (Based in KL; Singapore Market),IJEON GROUP SDN BHD,Kuala Lumpur
347,"SENIOR EXECUTIVE, FORWARDING",Global Enterprise International Malaysia Sdn Bhd (Member of Singtel Group),Kuala Lumpur
348,Accounting Internship,Innatech Communication Sdn Bhd,Company Confidential
349,SALES ASSISTANT CUM DRIVER,Lee Swee Construction & Trading Sdn Bhd,Petaling Jaya
350,Client Administrator,Foxcomasia Communications,Butterworth
351,Stockist Relation Manager,Prestar Marketing Sdn Bhd,Selangor
352,BUILDING MANAGER,Intelligent Money Sdn Bhd | iMoney.my,Bayan Lepas
353,"Executive / Senior Executive (Business Information), Actuarial",CompuMed Services Sdn Bhd,Company Confidential
354,Project Lead Engineer,MatchBox Exchange Pte. Ltd,"Johor, Kedah, Kuala Lumpur, Kelantan, Melaka, Negeri Sembilan, Penang, Pahang, Perak, Perlis, Sabah, Selangor, Sarawak, Terengganu, Labuan, Putrajaya"
355,Club Manager (Penang),BIOCEAN WOOD SDN. BHD.,Selangor
356,Estimator,Hive Marketing Sdn Bhd,Perak
357,Senior Product Executive,System Management Services Sdn. Bhd.,Petaling Jaya
358,Sales Executive,Top Glove Corporation Berhad,Kuala Lumpur
359,WAREHOUSE SUPERVISOR (HARDWARE),Roland Manufacturing Malaysia Sdn Bhd,Selangor - Others
360,HR cum Admin Executive,SEED AUTISM SERVICES,Perak
361,Internship for Hospitality/Tourism Management Students,Century Motolite Battery Sdn Bhd,Central
362,Project Coordinator (Contract),JD SPORTS FASHION SDN. BHD.,Selangor
363,Marketing (Executive),VSTECS BERHAD,Klang/Port Klang
364,"Technical Support Engineer/Executive (Klang Valley, Ipoh & Johor)",OZ Marketing Sdn Bhd,Cameron Highlands
365,Contract Executive (Q.S) Kajang,ASK Resources,Kuala Lumpur
366,Network Engineer,TDCX,Kuantan
367,General Manager,S8 AUTO,Cheras
368,"Intern, Commercial",TRUTH COMMUNICATIONS SDN. BHD.,Kuala Lumpur
369,MANAGER PROVIDER MANAGEMENT,Kinetics Systems Malaysia Sdn Bhd,Bayan Lepas
370,Customer Engagement Executive,JC WEALTH MANAGEMENT SDN BHD,Butterworth
371,Warehouse Executive,Belle & Russell Kindergarten,Kuala Lumpur
372,Video Editor,LSPCM SDN BHD,Subang Jaya
373,Marketing Executive,UPP PULP & PAPER (M) SDN. BHD.,Melaka
374,"Executive, Internal Audit",Toshiba Transmission & Distribution Systems Asia Sdn Bhd,Penang - Others
375,Supply Chain Management  Internship,Vitally Sdn Bhd,Petaling Jaya
376,Behavior Therapist,Bold Vision Sdn Bhd,Selangor
377,Warehouse Operations Executive,FatHopes Energy Sdn Bhd,Selangor
378,E-Commerce Customer Service Advisor (Contract),BIOCEAN WOOD SDN. BHD.,Company Confidential
379,Service Admin Assistant - Fresh Graduate / Junior,Jora Jobs,Petaling Jaya
380,Product cum Customer Service Advisor (Marketing Department),BW SIM HUAT TIMBER SDN BHD,Selangor
381,HR Analyst ( 6 months contract/ shared service),NOLEK SDN BHD,"Cheras, Kajang/Bangi/Serdang"
382,Technical Support Specialist,Talent Corporation Malaysia Berhad,Kuala Lumpur
383,Accounting Internship,PHN Industry Sdn Bhd,Selangor
384,PUBLIC RELATIONS MANAGER,MPI Generali Insurans Berhad (Multi-Purpose Insurans Bhd),Kuala Lumpur
385,Assistant Sales Manager,MMN Bina Sdn Bhd,Kuala Lumpur
386,Internship for Student interested in Customer Support,The Orange Academy,Singapore
387,Mandarin Teacher,Kelly Services (Malaysia) Sdn Bhd,Johor - Others
388,SALES EXECUTIVE,MCC Labels (Kuala Lumpur) Sdn Bhd,Kuala Lumpur
389,Human Resource Officer,J&T EXPRESS (MALAYSIA) SDN. BHD.,Petaling Jaya
390,Engineer,London College Of Clinical Hypnosis Asia,Selangor
391,Operation Support Officer (营运专员）,Adeka Foods (Asia) Sdn. Bhd.,Klang/Port Klang
392,Sales Executive / Representative,Koong Woh Tong Sdn Bhd,Selangor
393,QUALITY AND QUANTITY MANAGER,Tricom Events Pte Ltd,Semenyih
394,Purchasing Executive,COMPASS COGL MALAYSIA SERVICES SDN. BHD.,Kuala Lumpur
395,Admin Executive,Daikin Research & Development Malaysia Sdn Bhd,Petaling Jaya
396,ACCOUNTS & ADMIN OFFICER,AGILE REAL ESTATE DEVELOPMENT (M) SDN. BHD.,"Johor, Kuala Lumpur, Melaka, Sabah, Sarawak"
397,Internship for Mechanical / Mechatronics Engineering Students,Genexis Health Enterprise,Selangor
398,Special Officer to CEO (Personal Assistant),ECODE TECHNOLOGIES SDN BHD,Kuala Lumpur
399,Maintenance  Technician,Infineon Technologies Advance Logic Sdn Bhd,Petaling Jaya
400,Internship for Business Studies/Administration Students,AIA Bhd.,Petaling Jaya
401,Civil and Structure Engineer (Protege),MOBIEDGE E-COMMERCE SDN. BHD.,Selangor
402,Childcare Teacher,AXIS RESOURCES,Kuala Lumpur
403,Collection Officer,Tropicana Corporation Berhad,Petaling Jaya
404,Regional CI Leader,RBC MALAYSIA,Selangor
405,Data Analyst 数据分析人员,FAJARBARU BUILDER SDN BHD,Selangor - Others
406,Content Writer (Mental Health / Psychology),Gafis (M) Sdn Bhd,Petaling Jaya
407,Sales & Marketing Assistant,Mummys Market Pte Ltd,Puchong
408,Assistant Accounts Manager,Tata Consultancy Services,Shah Alam/Subang
409,HR/Payroll Executive,ASIA POLY INDUSTRIAL SDN. BHD.,Selangor
410,Event Manager,RHB Banking Group,Johor - Others
411,B2B Sales Executive - Serviced Office,HEALTH LANE FAMILY PHARMACY SDN BHD,Kuala Lumpur
412,R&D Engineer (Element & Technology),Kelly Services (Malaysia) Sdn Bhd,Penang
413,"Senior Executive, Property Management",International SOS Global Corporate Services Sdn Bhd,Penang
414,Sales Executive,Startek,Selangor
415,SOC Engineer    SOC Analyst,Machines Sdn Bhd,"Shah Alam/Subang, Perak"
416,Staff Engineer Unit Process Engineering Trim and Form,PB Realty Sdn. Bhd. (338851-D),Kuala Lumpur
417,"Senior Associate, Customer Correspondence (1 year conract)",BANDAR UTAMA CITY CENTRE SDN BHD,Kuala Lumpur
418,"GENERAL MANAGER, FINANCE (Based at Nilai)",GAMUDA LAND SDN BHD,"Yishun, North, Tampines, East"
419,Managers – Merchant Acquiring (Online & Offline),Malton Berhad,Kuala Lumpur
420,IT Executive 技术执行专员,Palmgold Corporate Services S/B,Selangor
421,"Senior Executive, Project",Khai Lien Silk Screen Suppliers (M) Sdn Bhd,Kuala Lumpur
422,Administrator Production Assurance (Contract),Sunway Berhad,Selangor
423,Assistant Store Keeper,GDT SDN. BHD.,Johor Bahru
424,Mechanical (Construction) Intern,Mahkota Medical Centre,Company Confidential
425,Master Data Specialist / Analyst,IJEON GROUP SDN BHD,Johor
426,Warehouse Manager,Yuncheng Plate-Making Technology (M) Sdn Bhd (796811-V),Kuala Lumpur
427,Remote Desktop Support Engineer,Inter Great (M) Sdn Bhd,"Queenstown, Central"
428,QA EXECUTIVE,Ori Bionature (M) Sdn Bhd,Kuala Lumpur
429,Retail CDD Analyst (Fresh Graduate),EC Council Global Services,Selangor
430,Retail Pharmacist,SINGAPORE HAI DI LAO DINING PTE. LTD,Kuala Lumpur
431,Procument Executive,Daikin Applied (Malaysia) Sdn Bhd,Johor Bahru
432,"Analyst, Procure-To-Pay",Jora Jobs,Kuala Lumpur
433,Technical Support Executive (IT) - Mandarin Speaker,Jora Jobs,Melaka
434,Internal Audit Executive,INNOV8TIF SOLUTIONS SDN. BHD.,Kuala Lumpur
435,Quantity Surveyor,GFG HOME REALTY SDN BHD,Company Confidential
436,Finance Executive/ Senior Finance Executive (1 Position),Oncogen Pharma (Malaysia) Sdn Bhd,Nilai
437,TECHNICAL MANAGER,Pahang Pharmacy Sdn Bhd,"Kuala Lumpur, Kota Kinabalu"
438,ADMINISTRATION ASSISTANT,ER GEMtrack Sdn Bhd,Selangor
439,Senior Executive IT,Agensi Pekerjaan HRnet One Sdn Bhd (HR),Selangor
440,Account And Admin Executive,ALC Platform Sdn Bhd,Kuala Lumpur
441,Storekeeper,Vinda Group SEA,Negeri Sembilan
442,Sourcing Executive,UOB Asset Management (Malaysia) Berhad,Shah Alam/Subang
443,Pricing Manager,MajuHome,Company Confidential
444,Internship for Food & Beverage Preparation/Services Management Students,Reddot Brewhouse Pte Ltd,Selangor
445,Sales And Marketing Executive,Yamaha Electronics Manufacturing (M) Sdn Bhd,Central
446,"Treasury/ Corporate Finance, Manager/ Senior Manager",Jora Jobs,Kuala Lumpur
447,Foreign Workers’ Dormitory Manager,Haier Electrical  Appliances (M) Sdn Bhd,Klang/Port Klang
448,Search Engine Optimization Specialist,TENAGA MA Sdn Bhd,Kuala Lumpur
449,SOC Engineer,Capital Dynamics Sdn Bhd,Melaka
450,Landscape Gardener cum Maintenance Staff,Straits Advisor Sdn Bhd,Kuala Lumpur
451,Accounts Executive,Nurraysa Global Sdn Bhd,Kuala Lumpur
452,Admin Assistant,NOLEK SDN BHD,Selangor
453,Admin Assistant,Franky Construction Sdn Bhd,Kuala Lumpur
454,AI Engineering Intern,Jasa Kita Warehousing Service Sdn Bhd,Melaka
455,Accommodation Sales Person,Flex,Selangor
456,"Executive, R&D Analytical (API)",PT RESOURCES HOLDINGS SDN BHD,Selangor
457,AREA SALES MANAGER,Sime Darby Industrial,Kuala Lumpur
458,Analyst Programmer,ECAS Consultants Pte Ltd,Selangor
459,Internship for Business Studies/Administration Students,Bullish Aim Sdn Bhd,Selangor
460,Sales cum Recruitment Executive (Open to Fresh Graduates),Linkk Busway Systems (M) Sdn Bhd,Selangor
461,QA Executive,Tropicana Golf & Country Resort,Bukit Mertajam
462,Manager - Operations (Funds Valuation),HENGYUAN REFINING COMPANY  BERHAD,Melaka
463,Part Time Sales Executive,Top Glove Corporation Berhad,Selangor
464,Assistant Brewer,Agensi Pekerjaan GMRecruitment Sdn Bhd,Selangor
465,SOFTWARE ENGINEER,ASK Resources,Company Confidential
466,Receptionist,IJEON GROUP SDN BHD,Ampang
467,Corporate Sales Executive （企业销售人员）,Panasonic Industrial Devices Malaysia Sdn Bhd,Bayan Lepas
468,Site Supervisor (Electrical),Mazars,Puchong
469,Database Specialist,Pinnacle Capital Sdn Bhd,Kuala Lumpur
470,Marketing Executive,DKSH Malaysia Sdn Bhd,"Newton, Central"
471,Marketing Manager,Agensi Pekerjaan BGC Group (Malaysia) Sdn Bhd,Selangor
472,Internship for System Control,J&T Express (Malaysia) Sdn Bhd - Northern Selangor,Selangor
473,Pengawal Keselamatan (Security Guard),jwfine enterprise,Selangor
474,Safety and Health Officer,Infineon Technologies (Malaysia) Sdn Bhd,Subang Jaya
475,Sales Executive (Warehousing Service),WEBRAND DIGITAL SDN. BHD.,Shah Alam/Subang
476,"Quality Supervisor - Flex Skudai, Johor",Southern Air Freight Sdn Bhd,Shah Alam/Subang
477,Personal Assistant,Roland Manufacturing Malaysia Sdn Bhd,"Kuala Lumpur, Selangor"
478,Finance Manager,Elabram Systems Sdn Bhd,Bayan Lepas
479,"Executive, Service",Seon Lim (M) Sdn Bhd,Kuala Lumpur
480,Bridge Design Engineer,SIHI Pumps (Malaysia) Sdn Bhd,"Selangor, Kuala Lumpur"
481,Internship for Data Entry Administrator - to start on May 2021,Diamond Mountain Construction,Selangor
482,Electrical Technician (5-Day Work in Balakong),United Nations High Commissioner for Refugees,Kuala Lumpur
483,Lifeguard,Pengerang Terminals (Two) Sdn Bhd,"Puchong, Subang Jaya, Petaling Jaya"
484,Ecommerce Operations Officer,TWY Search International (M) Sdn Bhd,Central
485,Internship for Information Technology Student 2021,Kelly Services (M) Sdn Bhd,Ipoh
486,"Engineer, Research & Development",Pine Packaging (M) Sdn Bhd,Selangor
487,"Senior Costing Officer (Up to RM4.2k / Tebrau, JB)",Lenovo,Selangor
488,Chemical Engineer (shared service)- Fresh are welcome,Live-well Nutraceuticals Sdn Bhd,Subang Jaya
489,Internship for Hotel and Restaurant Management Students,Caspian Digital Solutions,Kuala Lumpur
490,SENIOR CHEMIST,Jora Jobs,"Kuala Lumpur, Butterworth"
491,Technical Manager,Marc Service Residence,Kuantan
492,RESEARCH/FINANCIAL ANALYST,Toyota Capital Malaysia Sdn. Bhd.,Penang
493,"Engineer, Textile Machinery (KL / Johor)",Jora Jobs,Company Confidential
494,Telesales 电话销售-销售 - Basic+5 DIGITS Commission - SPM Fresh welcome-P6,[BEST INC.]MAY EXPRESS LOGISTICS SDN. BHD.,"Kuala Lumpur, Selangor"
495,HR Executive,JAC Recruitment Malaysia,Sarawak
496,ECOMMERECE DIGITAL MARKETING,IOI Properties Group Berhad (Property Development),"Kuala Lumpur, Selangor"
497,Project Manager - Operations Planning and Controlling,Best88 Co. Ltd.,Johor
498,Digital Marketing Strategist,AWWA LTD,Company Confidential
499,OPERATION CUM CUSTOMER SERVICE OFFICER,Kelly Services (Malaysia) Sdn Bhd,Selangor
500,Business Administrative Internship,Plastictecnic (M) Sdn Bhd,Shah Alam/Subang
501,IT Project Controller (12 Months Contract),CardBiz Solutions Sdn Bhd,Selangor
502,General Clerk,Appvalley Technology Sdn Bhd,"Queenstown, Central"
503,Senior Buyer / Supply Chain Executive,Sime Darby Holdings Berhad (Internal),Kuala Lumpur
504,Site Engineer,AR ADVANCE SDN BHD,Cheras
505,PROJECT CONTROL ASSOCIATE (TA) GL6 (UNHCR Post),FOREO INTERNATIONAL PTE. LTD.,Selangor
506,Commercial Executive,Barry Callebaut Manufacturing Malaysia Sdn Bhd,Company Confidential
507,Admin Executive (Fresh Grad Welcome | Global Company | Near LRT),Jora Jobs,Bukit Mertajam
508,Office Dispatch (Based in Negeri Sembilan),ASK Resources,Port Dickson
509,JUNIOR HR CUM ADMIN EXECUTIVE 人力资源行政部,Mondelez Malaysia Sales Sdn Bhd,Selangor
510,Service Coordinator,Jora Jobs,Johor
511,SALES EXECUTIVES - based in Penang and Johor Bahru,FINWEALTH MANAGEMENT SDN. BHD.,Kuala Lumpur
512,Business Development Media Sales Manager,SANMINA-SCI SYSTEMS (MALAYSIA) SDN BHD,Selangor
513,Purchasing Admin,Ye Chiu Non-Ferrous Metal (M) Sdn Bhd,Selangor
514,BUILDING MANAGER,Mondelez Malaysia Sales Sdn Bhd,Kuala Lumpur
515,Customer Service Representative,TJS Coprorate Services SB,Puchong
516,"Assistant Manager, Internal Audit",BIO LIFE NEUTRACEUTICALS SDN. BHD.,"Johor, Selangor"
517,Assistant Production Controller,Jora Jobs,Kuala Lumpur
518,Operators/ TL,WEBSPERT SOLUTION SDN. BHD.,Cheras
519,PROJECT MANAGER (Construction),Splendid Floriculture Sdn Bhd,Selangor
520,ACCOUNTANT (REF: JI),Sportopia Limited,Melaka
521,Executives - Sales Administration,Zurich Life Insurance Malaysia Berhad,Kuala Lumpur
522,Accounts & Finance Senior Executive,TOPDEAL COMMUNICATIONS SDN BHD,Subang Jaya
523,Accountant,Swift Energy Sdn Bhd.,Klang/Port Klang
524,Psychologist,Stone Forest IT Pte Ltd,Shah Alam/Subang
525,RM 3000- Customer Service - Kuala Lumpur,SEEK Asia (JobStreet),Perak
526,Hostel Warden,Jora Jobs,Kajang/Bangi/Serdang
527,Service Technician,HENGYUAN REFINING COMPANY  BERHAD,"Kuala Lumpur, Sarawak"
528,Internship for Computer Science in Microservice Development,Australian High Commission,Kuala Lumpur
529,Head of Sales and Marketing,ASE Electronics (M) Sdn Bhd,Kota Tinggi
530,"Executive, Service",XSD International Paper,Petaling Jaya
531,Telemarketing Executive,Katrin BJ Sdn Bhd,Kuala Lumpur
532,Field Coach,Omniraise Sdn Bhd,Melaka - Others
533,Senior Product Expert,Alpha Home Appliances Sdn Bhd,Selangor
534,TECHNICAL CLERK,Celcom Axiata Berhad,"Johor Bahru, Penang"
535,Junior Accounts Executive @ USJ - 5 Days,Sales Connection - Good Works Technology Sdn Bhd,Petaling Jaya
536,Supply Chain Finance Manager,Hitachi Transport System (M) Sdn Bhd,Selangor
537,Wedding Coordinator,Kerjaya Prospek (M) Sdn Bhd,Kuala Lumpur
538,Financial Planning Executive,Carlsberg Brewery Malaysia Bhd,Company Confidential
539,TRAINING MANAGER,Wihardja,Selangor
540,Production Officer,SAIKYU MOLD (MALAYSIA) SDN. BHD.,Petaling Jaya
541,E-Commerce Manager,S.A NETWORKS TECHNICAL INDUSTRIES SDN BHD,Penang
542,Tax Associate,Hong Leong Bank Berhad,"Kuala Lumpur, Kelantan, Klang/Port Klang, Shah Alam/Subang"
543,Accounts Executive,IFME Works Pte Ltd,Company Confidential
544,ROT Clerk,PM Securities Sdn Bhd,Port Dickson
545,Web programmer,Retail 360 Sdn Bhd,Kuala Lumpur
546,Office Manager,Jora Jobs,Selangor
547,Finance Operation Manager,Fast Track Sdn Bhd,Company Confidential
548,Project Manager (1 year contract),YS GAN & CO,Klang/Port Klang
549,Internship for Business Studies / Administration Students,Peri-dent Star Sdn Bhd,Labuan
550,ANALYST PROGRAMMER,Infineon Technologies (Malaysia) Sdn Bhd,North-East
551,Program Analyst,Wah Seng Industry Sdn. Bhd.,Kuala Lumpur
552,eMail Content Marketing Specialist,Elabram Systems Sdn Bhd,"Nilai, Selangor"
553,CLERK,Procurri Malaysia Sdn Bhd,Petaling Jaya
554,Internship for Contract and Procurement 2021,CIMB Group,Petaling Jaya
555,Driver cum Administrative Assistant,YEWON YUCHIWON,Company Confidential
556,Test Equipment / Line Maintenance Senior Engineer,HEALTH LANE FAMILY PHARMACY SDN BHD,Shah Alam/Subang
557,Company Driver,Savvy Cartel Sdn Bhd,Selangor
558,Order Processing Assistant,IMPERIA COLLEGE,Puchong
559,Sales Management Trainee,ASK Resources,"Johor, Kedah, Kuala Lumpur, Melaka, Penang, Sabah, Terengganu, Labuan"
560,Sales Executive - KL or Kuantan,SVO GROUP BERHAD,Johor Bahru
561,Enterprise Agile Coach,IRDECO F N B SDN. BHD.,Selangor
562,Internship for Mobile App Developer (Web and Backend),Bank Negara Malaysia,Kuala Lumpur
563,Human Resource Junior Executive,Rocketsview Management Sdn Bhd,"Perai, Selangor"
564,Senior Contract Executive,Confidential,Melaka
565,HR Executive (12 Months Contract),EURO POTENTIAL SDN BHD,Selangor
566,Showroom Executive,OSRAM (M) Sdn Bhd. – GSS Division,Penang
567,Machinist,Tri e Marketing Sdn Bhd,Johor
568,Supervisor-Planning,Jora Jobs,Selangor
569,Manager - Wealth Customer Experience,Insan Bakti Sdn. Bhd.,Puchong
570,Admin and Sales Coordinator,Newfields Land Sdn Bhd,Selangor
571,"Analyst, HR Services",Southern Infinity Group - CXR,Selangor
572,Assistant Manager-Risk Management,AGB Builders Sdn Bhd,Shah Alam/Subang
573,Human Resources & Admin Manager,AEON Credit Service (M) Bhd,Cameron Highlands
574,PRODUCTION MANAGER,Jora Jobs,Kuala Lumpur
575,Administrative Executive,T7 GLOBAL BERHAD,Kuala Lumpur
576,Audit Assistant,Jie Communication Sdn Bhd (realme Malaysia）,Cheras
577,Accounts Executive,MoneySmart Singapore,Shah Alam/Subang
578,Systems Engineer - Unix Administration,Genting Malaysia Berhad,Central
579,Customer Service,Jora Jobs,Kuala Lumpur
580,Product Management (12 Months Contract),Jora Jobs,Selangor
581,Inside Sales Representative,United Overseas Bank (Malaysia) Bhd,Port Dickson
582,Financial Services Consultant (Penang),The Big Rajah Food Caterers Sdn Bhd,Kuala Lumpur
583,LOOKING FOR A TASKA(TADIKA) TEACHER,Jora Jobs,Penang
584,Marketing Manager,Hong Leong Bank Berhad,Bentong
585,Corporate Sales Executive,Hanako Construction Pte Ltd,Subang Jaya
586,Lecturer - Real Estate Management,SGI Vacation Club Berhad (A member of OSK Group),Kuala Lumpur
587,External Audit Executive (Short term contract),ADVANCED ASSEMBLY MATERIALS (M) SDN. BHD.,"Kuantan, Shah Alam/Subang"
588,Online Sales Marketing,Ricoh (Malaysia) Sdn. Bhd.,Selangor
589,"WAITER, WAITRESS",The Famous Amos Chocolate Chip Cookie Corporation (M) Sdn. Bhd.,Subang Jaya
590,"Executive, Service Support Operations | Infrastructure Technology Department",Agensi Pekerjaan NCS Solutions Sdn. Bhd.,Kajang/Bangi/Serdang
591,Mobile Application Developer,Agensi Pekerjaan Pasona Sdn Bhd,Kuala Lumpur
592,Fruits &  Vege Supervisor for Supermarket,ASIA POLY INDUSTRIAL SDN. BHD.,Selangor
593,Management Trainee,Trisystems Engineering Sdn Bhd,"Sungei Kadut, Singapore"
594,Controlling Executive (Accounting),Times Offset (M) Sdn Bhd,Puchong
595,Marketing Coordinator,OM Materials (Sarawak) Sdn Bhd,Shah Alam/Subang
596,Admin Assistant,TechSearch Pte Ltd,Kuala Lumpur
597,Medical Representative,TONIK ASIA GROUP SDN BHD,"Others, Singapore"
598,Property Sales Executive (Basic + Commission) – Immediate Hiring,Omniraise Sdn Bhd,Company Confidential
599,Planning Officer,Gabungan AQRS Berhad,Kuala Lumpur
600,Elite Entrepreneur Program,MMC MANUFACTURING MALAYSIA SDN BHD,Kuala Lumpur
601,Senior HR & Admin Executive,BD (Formerly known as Bard Sdn Bhd),Subang Jaya
602,"Manager, Financial Reporting and Compliance",AEON Co. (M) Bhd.,Selangor
603,Haulage Operation,Kong Long Huat Chemicals Sdn Berhad,Gelugor
604,Expeditor - Mechanical Packages,WELLBE MALAYSIA SDN. BHD.,Selangor
605,Logistics Executive,Dancomair Engineering Sdn Bhd,Nilai
606,Customer Service Executive,AEL Engineering Sdn Bhd,Melaka
607,Croupier / Dealer (3 Months Contract),Armstrong Auto Parts Sdn Bhd,Bukit Mertajam
608,Customer Service Assistant,SAIKYU MOLD (MALAYSIA) SDN. BHD.,Shah Alam/Subang
609,Warehouse Assistant,JENSON AGENCY MARKETING,Petaling Jaya
610,"Senior Officer, Personal Banker, KL Main Branch",ACHIEVE Career Consultant (M) Sdn Bhd (JTKSM 579A),Penang
611,Marketing Executive,Tentacle Tech,Kuala Lumpur
612,Logistic Executive,KingKoil Bedding (Malaysia) Sdn Bhd,Kuala Lumpur
613,"Assistant Manager, Credit Administration (PJ City)",Jora Jobs,Petaling Jaya
614,Project Co-ordinator,EPS Malaysia,Selangor
615,"EXECUTIVE, MEMBER SERVICES",Plexus Manufacturing Sdn Bhd,"Kuala Lumpur, Selangor"
616,Logistic Officer,TechSearch Pte Ltd,Kuala Lumpur
617,Sales Executive (Government Sales),Bank Simpanan Nasional,Alor Setar
618,Outlet Crew (The Mines Seri Kembangan),ALL IT Hypermarket Sdn Bhd,Kuala Lumpur
619,Customer Service Consultant,IRDECO F N B SDN. BHD.,Kuala Lumpur
620,Assistant Engineer - Production @ Shah Alam [REF:QY],Mamee-Double Decker (M) Sdn Bhd,Petaling Jaya
621,PLANNER,COSMO RESTAURANTS SDN BHD ( BURGER KING MALAYSIA),Subang Jaya
622,Executive - Proposal,RHB Banking Group,Penang
623,Technician,SCHOTT Glass (M) Sdn Bhd,Selangor
624,MEDICAL ASSISTANT,Business Media International Sdn. Bhd.,Kuala Lumpur
625,Technician - Fixed night shift (no exp req),Public Bank Berhad,"Johor, Kuala Lumpur, Kelantan, Melaka, Penang, Pahang, Perak, Selangor, Sarawak, Terengganu"
626,Clinic Assistant (Front Desk),Webnatics Sdn. Bhd.,Selangor
627,Sales & Marketing Executive,AVX Manufacturing (Malaysia) Sdn Bhd,Company Confidential
628,Purchasing Executive,Agensi Pekerjaan Randstad Sdn Bhd - Professional,Penang
629,Assistant Logistic,Kintetsu World Express (Malaysia) Sdn Bhd,Johor Bahru
630,IT Project Application Support (Contract),IJEON GROUP SDN BHD,Kuala Lumpur
631,Personal Assistant,Jora Jobs,Kuala Lumpur
632,Accounts Assistant,DXC Technology Malaysia Sdn Bhd.,Selangor
633,Japanese speaking Customer Relations Executive Cum Medical Service Staff,Sime Darby Holdings Berhad (Internal),Kuala Lumpur
634,Senior Maintenance Technician,KENT SOON PACKAGING SDN BHD (Kent Soon Recycle Center Sdn Bhd),Petaling Jaya
635,"Executive,Planning",WCT Malls Management Sdn. Bhd.,"Queenstown, Central"
636,Human Resource Executive,PIF CAPITAL (M) SDN. BHD.,Pahang
637,Mold Maker (Mold Finishing),Juara Saji Sdn Bhd,Selangor
638,Swim Coach,Tesco Stores (Malaysia) Sdn Bhd,Selangor
639,Content Writer,Makefamous Creative Hub Sdn Bhd,Kuala Lumpur
640,[Welcome Fresh/Exp] Banking Customer Service I Up to RM5K l LRT - P10,Regal Elite Letrik Sdn Bhd,Petaling Jaya
641,Performance Tester,SF METAL SDN BHD,Selangor
642,DIGITAL MARKETING MANAGER,Daman Corporate Services Sdn. Bhd.,Selangor
643,Sales Executive,EAST ASIA PALM PRODUCTS SDN BHD,Singapore
644,Kindergarten Teacher,Infineon Technologies (Malaysia) Sdn Bhd,Kuala Lumpur
645,Electrical and Electronics Engineer (PJ),Basic Health & Beauty Sdn. Bhd.,Johor - Others
646,Senior Admin - Program Management/Customer Management,Jora Jobs,Shah Alam/Subang
647,Engineering Assistant/ Technician - Fixed Morning Shift (contract/ North),ESCATEC Electronics Sdn Bhd,Kajang/Bangi/Serdang
648,Insurance Specialist,Alliance Bank Malaysia Berhad,Bayan Lepas
649,Procurement Executives / Officers (Buyers),UWC Holdings Sdn Bhd,Shah Alam/Subang
650,"RESTAURANT SUPERVISOR, SERVICE SUPERVISOR",TTL SALES & RENTAL SDN BHD,Klang/Port Klang
651,"Executive, Research & Development",Western Digital,Shah Alam/Subang
652,RESTAURANT MANAGEMENT TEAM - ASSISTANT RESTAURANT MANAGER,OZ Marketing Sdn Bhd,Shah Alam/Subang
653,Paid Dealer's Representative - Miri Branch,Alliance Bank Malaysia Berhad,Bintulu
654,Compensation & Benefits Specialist,Robert Bosch (M) Sdn Bhd,North-East
655,Assistant Producer cum Journalist,EZT GROUP,Kuala Lumpur
656,Sales and Marketing Executives,CONTINENTAL HOPE MALAYSIA INDUSTRIAL DEVELOPMENT SDN. BHD.,Kuala Lumpur
657,Senior Digital Account Executive,THEVIKO INTERNATIONAL SDN BHD,Selangor
658,EHS ENGINEER ( with RPO certification),CUCKOO INTERNATIONAL (MAL) SDN. BHD.,Pekan
659,Retail Operations Manager (Food Retailer),dTb Creation Sdn Bhd,Kedah
660,ASSISTANT LOGISTICS WAREHOUSE MANAGER,Kloe Hotel Sdn Bhd,Kuala Lumpur
661,Internship for Media/Art Students,Jora Jobs,Kuala Lumpur
662,Customer Service Assistant,Jora Jobs,Kuala Lumpur
663,Hyper-V Expert,Doo Technology MY Sdn. Bhd,Selangor
664,"Executive, Marketing | 8286",RBC MALAYSIA,Perak
665,Production Operator,Kemikon Sdn. Bhd.,Penang
666,Assistant Manager - Lease Admin,ITA Asia Limited,Puchong
667,Digital Marketing Manager,Flows Ranger Sdn Bhd,Company Confidential
668,TUKANG MASAK,Agroscience Industry Sdn Bhd,Singapore
669,Retail Planning Executive,Tecsys Product Sdn Bhd,Kuala Lumpur
670,Online Marketing Assistant,Segi Astana Sdn. Bhd.,Kuala Lumpur
671,Project Engineer工程师 (Electrical),Yeahhost Sdn Bhd,Kuala Lumpur
672,Admin Coordinator (Subcontractor),Premier Clinic,Klang/Port Klang
673,Secretarial Executive / Senior Secretarial Executive,Torq-On Technologies (M) Sdn Bhd,Company Confidential
674,Microsoft Dynamic 365 Executive,Omniraise Sdn Bhd,Selangor
675,System Engineer - Production Data Warehouse,Jora Jobs,Kuala Lumpur
